user_id,total_transactions,avg_spend,spend_std,late_night_ratio,month_end_ratio,salary_day_ratio,mobile_ratio,online_ratio,upi_ratio,impulse_risk_score,risk_level,cluster,behaviour_profile,recommendation,simulated_risk_score,risk_explanation,simulated_risk_if_late_night_increases
U011,152,1684.4736842105262,1146.7368096303403,0.3157894736842105,0.19078947368421054,0.06578947368421052,0.8026315789473685,0.618421052631579,0.5,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U012,149,1623.2080536912752,983.3526509604353,0.348993288590604,0.22818791946308725,0.053691275167785234,0.8120805369127517,0.5704697986577181,0.48322147651006714,20,Low,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U013,173,1731.1907514450868,1152.596105827961,0.36416184971098264,0.2023121387283237,0.08092485549132948,0.815028901734104,0.6011560693641619,0.5260115606936416,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U014,145,1754.8896551724138,1261.225804289672,0.296551724137931,0.1793103448275862,0.10344827586206896,0.8068965517241379,0.7172413793103448,0.5517241379310345,15,Low,0,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U015,126,1806.2460317460318,1235.830924918181,0.36507936507936506,0.2698412698412698,0.11904761904761904,0.8095238095238095,0.6111111111111112,0.49206349206349204,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U016,104,1688.9326923076924,1169.1717113287175,0.36538461538461536,0.22115384615384615,0.10576923076923077,0.7211538461538461,0.6923076923076923,0.47115384615384615,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U017,163,1681.0552147239264,1137.699765400246,0.3128834355828221,0.17791411042944785,0.07975460122699386,0.8466257668711656,0.656441717791411,0.49693251533742333,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U018,189,1770.857142857143,1246.166443117198,0.30687830687830686,0.20634920634920634,0.1164021164021164,0.798941798941799,0.656084656084656,0.48677248677248675,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U019,117,1681.3675213675215,1194.361866829331,0.37606837606837606,0.2222222222222222,0.05982905982905983,0.7606837606837606,0.6324786324786325,0.5042735042735043,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U020,134,1858.089552238806,1382.0859110794486,0.3656716417910448,0.14925373134328357,0.11194029850746269,0.7910447761194029,0.5895522388059702,0.4552238805970149,20,Low,0,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U021,144,1724.2708333333333,1299.4714698528549,0.2708333333333333,0.16666666666666666,0.10416666666666667,0.8263888888888888,0.6180555555555556,0.5416666666666666,15,Low,0,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U022,144,1672.6805555555557,1016.8902317337368,0.2847222222222222,0.2152777777777778,0.041666666666666664,0.7847222222222222,0.6180555555555556,0.5347222222222222,15,Low,1,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U023,159,1680.8050314465409,1323.3105564587943,0.32075471698113206,0.18238993710691823,0.09433962264150944,0.7610062893081762,0.6477987421383647,0.44025157232704404,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U024,166,1752.210843373494,1231.8158648810372,0.3614457831325301,0.21686746987951808,0.10843373493975904,0.7590361445783133,0.608433734939759,0.4879518072289157,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U025,126,1808.8968253968253,1373.6255666191723,0.38095238095238093,0.23015873015873015,0.10317460317460317,0.8492063492063492,0.6825396825396826,0.3968253968253968,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U026,152,1624.657894736842,1031.2643503654197,0.3092105263157895,0.11842105263157894,0.13815789473684212,0.8486842105263158,0.6644736842105263,0.4934210526315789,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U027,152,1869.842105263158,1191.8526071439383,0.3355263157894737,0.21052631578947367,0.10526315789473684,0.8157894736842105,0.6907894736842105,0.5263157894736842,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U028,129,1730.4961240310076,1213.7127319460667,0.34108527131782945,0.20930232558139536,0.10077519379844961,0.8449612403100775,0.7054263565891473,0.4806201550387597,35,Medium,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U029,178,1824.3820224719102,1469.2478109803199,0.3595505617977528,0.17415730337078653,0.10674157303370786,0.797752808988764,0.6685393258426966,0.5056179775280899,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U030,190,1618.3578947368421,1038.2261522381875,0.3894736842105263,0.16842105263157894,0.07894736842105263,0.8315789473684211,0.6526315789473685,0.5105263157894737,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U031,114,1666.2368421052631,1218.2719831077693,0.3333333333333333,0.19298245614035087,0.12280701754385964,0.8070175438596491,0.7631578947368421,0.45614035087719296,35,Medium,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U032,194,1925.8659793814434,1497.51110355198,0.35051546391752575,0.19072164948453607,0.12371134020618557,0.788659793814433,0.7216494845360825,0.520618556701031,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U033,187,1773.6791443850268,1392.765286690481,0.31016042780748665,0.20855614973262032,0.10160427807486631,0.8288770053475936,0.6149732620320856,0.5026737967914439,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U034,174,1648.0344827586207,1245.998566030367,0.3735632183908046,0.1724137931034483,0.10919540229885058,0.7873563218390804,0.6149425287356322,0.5229885057471264,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U035,120,1798.4083333333333,1296.2212080112092,0.43333333333333335,0.20833333333333334,0.125,0.8083333333333333,0.6666666666666666,0.5416666666666666,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U036,172,1645.4767441860465,1346.8331339420165,0.31976744186046513,0.23255813953488372,0.10465116279069768,0.7965116279069767,0.6395348837209303,0.47674418604651164,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U037,137,1788.153284671533,1380.7248570018605,0.291970802919708,0.29927007299270075,0.10218978102189781,0.7883211678832117,0.656934306569343,0.5328467153284672,15,Low,0,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U038,144,1790.3055555555557,1370.8569994627132,0.375,0.1388888888888889,0.14583333333333334,0.8055555555555556,0.6527777777777778,0.5694444444444444,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U039,121,1508.0826446280992,1188.8716820777088,0.4049586776859504,0.2644628099173554,0.06611570247933884,0.8677685950413223,0.6363636363636364,0.5289256198347108,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U040,138,1731.4855072463768,1420.4624991414803,0.3188405797101449,0.1956521739130435,0.07971014492753623,0.8260869565217391,0.644927536231884,0.4855072463768116,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U041,157,1821.3312101910828,1272.1170341485733,0.4394904458598726,0.2802547770700637,0.12101910828025478,0.7579617834394905,0.6687898089171974,0.4585987261146497,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U042,141,1842.4184397163122,1270.318954076542,0.3404255319148936,0.19148936170212766,0.14893617021276595,0.8226950354609929,0.5886524822695035,0.49645390070921985,20,Low,0,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U043,102,1707.4803921568628,1062.4846997653606,0.24509803921568626,0.21568627450980393,0.08823529411764706,0.7745098039215687,0.6470588235294118,0.46078431372549017,15,Low,1,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U044,137,1816.8175182481752,1358.209354362975,0.3284671532846715,0.20437956204379562,0.0948905109489051,0.7883211678832117,0.6788321167883211,0.45985401459854014,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U045,126,1529.857142857143,879.3533871138332,0.38095238095238093,0.1984126984126984,0.047619047619047616,0.8095238095238095,0.6746031746031746,0.42063492063492064,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U046,129,1750.3643410852712,1221.4528102964143,0.31007751937984496,0.14728682170542637,0.10852713178294573,0.8682170542635659,0.627906976744186,0.5271317829457365,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U047,199,1619.964824120603,1276.8222406074954,0.3015075376884422,0.20100502512562815,0.08040201005025126,0.8040201005025126,0.6733668341708543,0.5879396984924623,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U048,168,1666.1130952380952,1228.990371987619,0.2916666666666667,0.21428571428571427,0.08333333333333333,0.7440476190476191,0.6547619047619048,0.5059523809523809,15,Low,3,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U049,143,1730.2447552447552,1352.6623524268732,0.34265734265734266,0.1958041958041958,0.11888111888111888,0.8321678321678322,0.6573426573426573,0.46153846153846156,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U050,183,1712.6666666666667,1215.6183174717683,0.37158469945355194,0.20218579234972678,0.07103825136612021,0.8142076502732241,0.6885245901639344,0.5081967213114754,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U051,120,1737.5916666666667,1394.4534394837121,0.275,0.10833333333333334,0.09166666666666666,0.775,0.6333333333333333,0.5166666666666667,15,Low,0,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U052,134,1597.5820895522388,1193.4694183803513,0.31343283582089554,0.19402985074626866,0.08208955223880597,0.8507462686567164,0.6716417910447762,0.43283582089552236,35,Medium,1,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U053,158,1752.626582278481,1258.3493357386294,0.4620253164556962,0.2088607594936709,0.10126582278481013,0.810126582278481,0.6392405063291139,0.5569620253164557,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U054,128,1609.4375,1122.5525801830356,0.328125,0.2265625,0.0859375,0.8359375,0.625,0.421875,35,Medium,1,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U055,175,1791.6971428571428,1189.7746404705103,0.35428571428571426,0.17714285714285713,0.08571428571428572,0.7485714285714286,0.6171428571428571,0.49714285714285716,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U056,107,1474.8691588785048,1047.1485368326669,0.35514018691588783,0.14953271028037382,0.08411214953271028,0.794392523364486,0.6728971962616822,0.514018691588785,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U057,181,1784.9171270718232,1215.0935898040166,0.3314917127071823,0.19337016574585636,0.09392265193370165,0.8011049723756906,0.6850828729281768,0.5414364640883977,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U058,173,1728.7456647398844,980.1671037208714,0.32947976878612717,0.2543352601156069,0.08670520231213873,0.8034682080924855,0.6589595375722543,0.4913294797687861,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U059,168,1810.732142857143,1487.4512319211958,0.34523809523809523,0.17857142857142858,0.16666666666666666,0.8214285714285714,0.6488095238095238,0.47619047619047616,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U060,163,1704.0858895705521,1154.2159885103824,0.3006134969325153,0.15950920245398773,0.12269938650306748,0.7607361963190185,0.6319018404907976,0.5030674846625767,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U061,190,1751.8947368421052,1274.899323537877,0.2736842105263158,0.2,0.1,0.7947368421052632,0.631578947368421,0.49473684210526314,15,Low,3,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U062,190,1740.821052631579,1188.6881478259784,0.37894736842105264,0.12631578947368421,0.09473684210526316,0.8368421052631579,0.6578947368421053,0.46842105263157896,35,Medium,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U063,112,1573.830357142857,1206.694254985946,0.33035714285714285,0.19642857142857142,0.08035714285714286,0.8125,0.6696428571428571,0.5446428571428571,35,Medium,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U064,105,1827.5142857142857,1337.4763557528042,0.34285714285714286,0.1523809523809524,0.10476190476190476,0.8666666666666667,0.5714285714285714,0.5619047619047619,20,Low,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U065,137,1971.2700729927008,1490.0893109023486,0.29927007299270075,0.16058394160583941,0.11678832116788321,0.8175182481751825,0.6277372262773723,0.5328467153284672,15,Low,0,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U066,109,1733.091743119266,1194.2628017540421,0.4036697247706422,0.22935779816513763,0.13761467889908258,0.7889908256880734,0.5688073394495413,0.5137614678899083,20,Low,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U067,188,1689.7446808510638,1126.7779812170245,0.35638297872340424,0.20212765957446807,0.10638297872340426,0.7819148936170213,0.5797872340425532,0.4734042553191489,20,Low,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U068,134,1753.3955223880596,1330.967170633111,0.3805970149253731,0.22388059701492538,0.08208955223880597,0.7611940298507462,0.5746268656716418,0.5671641791044776,20,Low,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U069,127,1842.7952755905512,1377.3549665162668,0.30708661417322836,0.2125984251968504,0.07874015748031496,0.7637795275590551,0.6299212598425197,0.4330708661417323,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U070,164,1793.9207317073171,1389.7015479774768,0.3475609756097561,0.20121951219512196,0.12195121951219512,0.8292682926829268,0.6463414634146342,0.5121951219512195,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U071,150,1738.6066666666666,1205.687477713437,0.32,0.16666666666666666,0.10666666666666667,0.8066666666666666,0.6333333333333333,0.4533333333333333,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U072,154,2031.9935064935064,1307.5565522043246,0.2922077922077922,0.19480519480519481,0.08441558441558442,0.8181818181818182,0.6883116883116883,0.5194805194805194,15,Low,0,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U073,103,1932.116504854369,1472.1100988568387,0.33980582524271846,0.17475728155339806,0.11650485436893204,0.7961165048543689,0.6504854368932039,0.47572815533980584,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U074,136,1650.1691176470588,828.3081065252906,0.29411764705882354,0.22794117647058823,0.08088235294117647,0.7867647058823529,0.6397058823529411,0.45588235294117646,15,Low,1,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U075,170,1860.770588235294,1361.7862487540065,0.32941176470588235,0.2,0.10588235294117647,0.8470588235294118,0.6294117647058823,0.4294117647058823,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U076,178,1826.247191011236,1281.645960446924,0.29775280898876405,0.16292134831460675,0.09550561797752809,0.7865168539325843,0.6460674157303371,0.5337078651685393,15,Low,3,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U077,127,1595.5118110236222,1173.8245648249044,0.33070866141732286,0.2283464566929134,0.10236220472440945,0.8582677165354331,0.6141732283464567,0.4881889763779528,35,Medium,1,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U078,120,1701.2166666666667,1216.7805791806293,0.35,0.20833333333333334,0.058333333333333334,0.7833333333333333,0.6833333333333333,0.49166666666666664,35,Medium,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U079,144,1639.048611111111,973.1305501064619,0.3541666666666667,0.25,0.08333333333333333,0.8055555555555556,0.6111111111111112,0.5555555555555556,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U080,145,1723.0206896551724,966.430822299862,0.3724137931034483,0.14482758620689656,0.09655172413793103,0.8275862068965517,0.6275862068965518,0.5586206896551724,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U081,174,1833.9885057471265,1309.3416648235254,0.3275862068965517,0.21264367816091953,0.10344827586206896,0.8103448275862069,0.6551724137931034,0.5172413793103449,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U082,136,1793.0588235294117,1459.7988586189786,0.34558823529411764,0.16911764705882354,0.09558823529411764,0.8455882352941176,0.6691176470588235,0.5367647058823529,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U083,167,1625.802395209581,1118.6169453193854,0.3413173652694611,0.16766467065868262,0.11377245508982035,0.7964071856287425,0.6526946107784432,0.46107784431137727,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U084,111,1820.972972972973,1257.53133674643,0.36036036036036034,0.24324324324324326,0.10810810810810811,0.8288288288288288,0.6306306306306306,0.44144144144144143,35,Medium,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U085,151,1861.5430463576158,1506.2352704014486,0.304635761589404,0.17880794701986755,0.152317880794702,0.7748344370860927,0.6754966887417219,0.5099337748344371,35,Medium,0,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U086,123,1621.5284552845528,1339.5647526874825,0.3008130081300813,0.10569105691056911,0.10569105691056911,0.8211382113821138,0.6504065040650406,0.44715447154471544,35,Medium,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U087,191,1687.0209424083769,1082.5268294140392,0.33507853403141363,0.18848167539267016,0.07853403141361257,0.7958115183246073,0.6701570680628273,0.43455497382198954,35,Medium,1,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U088,129,1638.093023255814,1090.7315595640705,0.3333333333333333,0.2558139534883721,0.06976744186046512,0.8062015503875969,0.6511627906976745,0.4806201550387597,35,Medium,1,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U089,164,1804.2987804878048,1471.8429046435026,0.25609756097560976,0.21341463414634146,0.1402439024390244,0.7682926829268293,0.5853658536585366,0.4634146341463415,0,Low,0,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,20,Frequent mobile purchases,20
U090,107,1706.3551401869158,1354.9312887426781,0.3364485981308411,0.18691588785046728,0.12149532710280374,0.7850467289719626,0.5981308411214953,0.5514018691588785,20,Low,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U091,168,1809.1785714285713,1303.9719713448742,0.38095238095238093,0.17261904761904762,0.13690476190476192,0.7857142857142857,0.5952380952380952,0.49404761904761907,20,Low,3,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U092,190,1644.821052631579,1336.4018736175167,0.3368421052631579,0.21578947368421053,0.1,0.8105263157894737,0.6789473684210526,0.47368421052631576,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U093,176,1765.9772727272727,1238.102008050089,0.3409090909090909,0.19318181818181818,0.11363636363636363,0.7897727272727273,0.6931818181818182,0.5113636363636364,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U094,117,1753.1965811965813,1217.0246097256484,0.24786324786324787,0.20512820512820512,0.1111111111111111,0.8205128205128205,0.6239316239316239,0.4358974358974359,15,Low,0,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
